ds,crop,y
2019-01-01,maize,1610.4871794871794
2019-01-02,maize,1618.1880877742947
2019-01-03,maize,1617.0562130177516
2019-01-04,maize,1684.508038585209
2019-01-05,maize,1611.9339207048458
2019-01-06,maize,1613.986301369863
2019-01-07,maize,1631.0
2019-01-08,maize,1636.5413793103448
2019-01-09,maize,1650.3952702702702
2019-01-10,maize,1667.631067961165
2019-01-11,maize,1665.5219594594594
2019-01-12,maize,1657.8294117647058
2019-01-13,maize,1597.2297297297298
2019-01-14,maize,1678.0140186915887
2019-01-15,maize,1670.256157635468
2019-01-16,maize,1665.057761732852
2019-01-17,maize,1689.5562937062937
2019-01-18,maize,1680.1225806451612
2019-01-19,maize,1697.4368600682594
2019-01-20,maize,1666.0632911392406
2019-01-21,maize,1730.8275261324043
2019-01-22,maize,1742.6186440677966
2019-01-23,maize,1747.732342007435
2019-01-24,maize,1751.1074074074074
2019-01-25,maize,1761.3383458646617
2019-01-26,maize,1757.6129032258063
2019-01-27,maize,1675.735294117647
2019-01-28,maize,1769.1569343065694
2019-01-29,maize,1770.9684210526316
2019-01-30,maize,1775.6140939597315
2019-01-31,maize,1780.11743772242
2019-02-01,maize,1788.94776119403
2019-02-02,maize,1805.7467248908297
2019-02-03,maize,1768.4647887323943
2019-02-04,maize,1814.0575221238937
2019-02-05,maize,1831.5168539325844
2019-02-06,maize,1857.8444444444444
2019-02-07,maize,1856.0232558139535
2019-02-08,maize,1863.7115702479339
2019-02-09,maize,1841.3576158940398
2019-02-10,maize,1767.5
2019-02-11,maize,1848.6192170818506
2019-02-12,maize,1849.3615384615384
2019-02-13,maize,1855.2923076923078
2019-02-14,maize,1860.6411764705883
2019-02-15,maize,1863.69921875
2019-02-16,maize,1852.9019607843138
2019-02-17,maize,1794.2702702702702
2019-02-18,maize,1861.3450980392156
2019-02-19,maize,1836.0216216216215
2019-02-20,maize,1860.9721115537848
2019-02-21,maize,1885.316
2019-02-22,maize,1847.5666666666666
2019-02-23,maize,1835.7536945812808
2019-02-24,maize,1759.8857142857144
2019-02-25,maize,1845.0472440944882
2019-02-26,maize,1838.4663865546217
2019-02-27,maize,1833.5591836734693
2019-02-28,maize,1819.7591743119267
2019-03-01,maize,1829.019512195122
2019-03-02,maize,1825.1187214611873
2019-03-03,maize,1762.484375
2019-03-04,maize,1802.2857142857142
2019-03-05,maize,1843.4767932489451
2019-03-06,maize,1862.2892156862745
2019-03-07,maize,1819.952380952381
2019-03-08,maize,1828.128514056225
2019-03-09,maize,1820.4907975460123
