year,month,avg_temp,total_rainfall
2019,1,19.23,23.9
2019,2,23.32,1.4
2019,3,28.23,6.2
2019,4,33.47,1.4
2019,5,36.79,0.0
2019,6,34.64,73.7
2019,7,28.06,512.1
2019,8,26.33,418.9
2019,9,26.06,356.5
2019,10,25.73,45.6
2019,11,24.0,3.8
2019,12,20.48,28.5
2020,1,19.3,50.8
2020,2,21.69,11.6
2020,3,26.69,14.1
2020,4,32.13,0.5
2020,5,35.01,0.3
2020,6,28.83,238.8
2020,7,27.51,294.0
2020,8,26.21,691.6
2020,9,27.19,278.6
2020,10,26.31,82.6
2020,11,23.22,1.4
2020,12,21.24,0.3
2021,1,22.65,1.1
2021,2,23.14,2.7
2021,3,28.22,0.3
2021,4,31.85,0.9
2021,5,32.76,12.1
2021,6,28.58,175.3
2021,7,27.28,431.3
2021,8,26.94,203.9
2021,9,26.18,312.2
2021,10,25.65,55.4
2021,11,24.18,16.2
2021,12,20.74,11.6
2022,1,18.9,28.3
2022,2,22.46,1.7
2022,3,29.29,0.5
2022,4,34.4,0.0
2022,5,35.38,0.0
2022,6,31.61,213.4
2022,7,26.02,867.8
2022,8,26.55,445.9
2022,9,26.48,260.6
2022,10,24.52,178.2
2022,11,21.55,0.0
2022,12,22.16,1.3
2023,1,21.41,0.7
2023,2,23.92,0.0
2023,3,26.93,31.2
2023,4,29.65,111.8
2023,5,32.12,51.2
2023,6,32.93,91.2
2023,7,27.35,559.7
2023,8,27.23,193.0
2023,9,26.76,319.8
2023,10,26.41,6.5
2023,11,24.1,19.9
2023,12,20.91,6.2
2024,1,21.34,12.1
2024,2,23.64,17.5
2024,3,28.05,12.2
2024,4,31.37,26.6
2024,5,34.11,47.9
2024,6,31.22,178.1
2024,7,26.92,613.5
2024,8,26.32,398.9
2024,9,26.72,308.3
2024,10,26.98,64.8
2024,11,23.94,0.0
2024,12,22.89,7.2
